timestamp,interceptor_flow_gpm
2023-07-14,1254423.0848170628
2023-07-15,1615379.0886521349
2023-07-16,1308707.7512782626
2023-07-17,1033374.6280208179
2023-07-18,883167.9416366493
2023-07-19,1147431.9639574068
2023-07-20,1442459.568155084
2023-07-21,1546963.113136588
2023-07-22,1329296.822240126
2023-07-23,1091627.6578736838
2023-07-24,1038405.3722961398
2023-07-25,894125.3921392115
2023-07-26,815058.9590477347
2023-07-27,748700.7578249738
2023-07-28,779946.8977966752
2023-07-29,958793.0208998226
2023-07-30,855689.3120283756
2023-07-31,640146.1487720486
2023-08-01,657570.7515733156
2023-08-02,607618.4989952462
2023-08-03,547536.8004906737
2023-08-04,527754.2350846481
2023-08-05,506390.6826576938
2023-08-06,562218.8519823
2023-08-07,1008099.947067327
2023-08-08,1566295.9709871898
2023-08-09,932513.5320870178
2023-08-10,1094715.561229883
2023-08-11,1121939.0159653814
2023-08-12,931261.1702976066
2023-08-13,747970.171519425
2023-08-14,641529.6038248807
2023-08-15,649265.3068868527
2023-08-16,706854.0031734601
2023-08-17,610189.0716472864
2023-08-18,564486.0827041194
2023-08-19,544901.1210017472
2023-08-20,507538.978263076
2023-08-21,462340.8766473911
2023-08-22,405056.10338878207
2023-08-23,383182.6124299622
2023-08-24,356519.19082947704
2023-08-25,413774.13454352634
2023-08-26,548329.0180957046
2023-08-27,380189.13653866027
2023-08-28,344011.0075046886
2023-08-29,272712.06810840254
2023-08-30,331110.4105326698
2023-08-31,264848.5565505679
2023-09-01,321217.74858034117
2023-09-02,366275.40472846566
2023-09-03,362176.9115412372
2023-09-04,285313.6702125707
2023-09-05,254727.4334550171
2023-09-06,225206.658712564
2023-09-07,192982.41847969205
2023-09-08,337726.34162596526
2023-09-09,776029.3182551053
2023-09-10,1038210.1188125755
2023-09-11,1041913.5323355981
2023-09-12,723246.2509393216
2023-09-13,1284365.457714093
2023-09-14,1053419.4091049847
2023-09-15,719748.4215102266
2023-09-16,555645.0759863834
2023-09-17,561393.0610858386
2023-09-18,531868.6060747106
2023-09-19,511059.34925631393
2023-09-20,547747.5711438912
2023-09-21,590219.6275075659
2023-09-22,687199.5645994232
2023-09-23,899356.5239375153
2023-09-24,2469850.5469532656
2023-09-25,1908804.6951973622
2023-09-26,1602441.040724055
2023-09-27,2073928.8494167835
2023-09-28,1970427.0804792314
2023-09-29,1608023.8437407915
2023-09-30,1344509.4564596093
2023-10-01,1130241.2642551672
2023-10-02,912971.6506248398
2023-10-03,860855.0848162484
2023-10-04,788015.9266694913
2023-10-05,671970.2756920616
2023-10-06,653655.6149519052
2023-10-07,635983.8927302418
2023-10-08,674337.2168223596
2023-10-09,590309.480115529
2023-10-10,603469.4963406449
2023-10-11,637759.1827525151
2023-10-12,601999.6320643271
2023-10-13,583740.783453504
2023-10-14,591757.6629627789
2023-10-15,700976.3093900275
2023-10-16,630981.0682410655
